FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
108,Fire Station 108,12520 MULHOLLAND DR,90210,FIRE,12520,,MULHOLLAND,DR,,,6438453.999940229579806,1869383.000027549918741
83,Fire Station 83,4960 BALBOA BLVD,91436,FIRE,4960,,BALBOA,BLVD,,,6410230.171873570419848,1881367.710638140095398
84,Fire Station 84,21050 BURBANK BLVD,91367,FIRE,21050,,BURBANK,BLVD,,,6382763.402004060335457,1885785.618797050090507
85,Fire Station 85,1331 W 253RD ST,90710,FIRE,1331,W,253RD,ST,,,6470505.000142560340464,1747921.999839799944311
87,Fire Station 87,10124 BALBOA BLVD,91343,FIRE,10124,,BALBOA,BLVD,,,6410057.903517309576273,1915460.120471549918875
89,Fire Station 89,7063 LAUREL CANYON BLVD,91605,FIRE,7063,,LAUREL CANYON,BLVD,,,6441681.000047889538109,1895081.000140639953315
91,Fire Station 91,14430 POLK ST,91342,FIRE,14430,,POLK,ST,,,6426615.99999423045665,1935281.000121040036902
93,Fire Station 93,19059 VENTURA BLVD,91356,FIRE,19059,,VENTURA,BLVD,,,6395657.999902489595115,1885728.000145880039781
94,Fire Station 94,4470 COLISEUM ST,90008,FIRE,4470,,COLISEUM,ST,,,6457060.000129730440676,1829041.000003050081432
95,Fire Station 95,10010 INTERNATIONAL RD,90045,FIRE,10010,,INTERNATIONAL,RD,,,6446038.999862059950829,1802705.999851630069315
96,Fire Station 96,21800 MARILLA ST,91311,FIRE,21800,,MARILLA,ST,,,6379422.999892240390182,1912945.999843630008399
97,Fire Station 97,8021 MULHOLLAND DR,90046,FIRE,8021,,MULHOLLAND,DR,,,6448298.966142640449107,1868249.70012878999114
98,Fire Station 98,13035 VAN NUYS BLVD,91331,FIRE,13035,,VAN NUYS,BLVD,,,6435637.999994809739292,1920925.9999597100541
99,Fire Station 99,14145 MULHOLLAND DR,90210,FIRE,14145,,MULHOLLAND,DR,,,6428400.816306490451097,1870644.6874647999648
101,Fire Station 101,1414 W 25TH ST,90732,FIRE,1414,W,25TH,ST,,,6467307.696169739589095,1721328.281373800011352
102,Fire Station 102,13200 BURBANK BLVD,91401,FIRE,13200,,BURBANK,BLVD,,,6434214.999888059683144,1885195.99989755009301
103,Fire Station 103,18143 PARTHENIA ST,91325,FIRE,18143,,PARTHENIA,ST,,,6401950.000113730318844,1906120.000044210115448
104,Fire Station 104,8349 WINNETKA AVE,91306,FIRE,8349,,WINNETKA,AVE,,,6388941.999883060343564,1903362.999980790074915
105,Fire Station 105,6345 FALLBROOK AVE,91367,FIRE,6345,,FALLBROOK,AVE,,,6373045.99985096976161,1890453.999880210030824
106,Fire Station 106,23004 ROSCOE BLVD,91304,FIRE,23004,,ROSCOE,BLVD,,,6371843.999958399683237,1902689.000016469974071
107,Fire Station 107,20225 DEVONSHIRE ST,91311,FIRE,20225,,DEVONSHIRE,ST,,,6388381.000020819716156,1916595.000091549940407
109,Fire Station 109,16500 MULHOLLAND DR,90049,FIRE,16500,,MULHOLLAND,DR,,,6412579.9998510600999,1870306.000150050036609
110,Fire Station 110,2945 MINER ST,90731,FIRE,2945,,MINER,ST,,BERTH #44A,6477736.000116229988635,1720046.000145720085129
111,Fire Station 111,1444 S SEASIDE AVE,90731,FIRE,1444,S,SEASIDE,AVE,,BERTH #256,6480098.99998340010643,1723632.99986145994626
49,Fire Station 49,400 YACHT ST,90744,FIRE,400,,YACHT,ST,,BERTH 194,6483172.000070969574153,1736676.000022130087018
88,Fire Station 88,5101 N SEPULVEDA BLVD,91403,FIRE,5101,N,SEPULVEDA,BLVD,,,6420547.999991149641573,1882048.999957960098982
51,Fire Station 51,10435 S SEPULVEDA BLVD,90045,FIRE,10435,S,SEPULVEDA,BLVD,,,6441464.000153809785843,1800833.99998671002686
1,Fire Station 1,2230 PASADENA AVE,90031,FIRE,2230,,PASADENA,AVE,,,6495557.99990522954613,1849798.000155630055815
2,Fire Station 2,1962 E CESAR E CHAVEZ AVE,90033,FIRE,1962,E,CESAR E CHAVEZ,AVE,,,6496909.00015599001199,1840347.000028799986467
28,Fire Station 28,11641 CORBIN AVE,91326,FIRE,11641,,CORBIN,AVE,,,6389579.260419559665024,1925228.455265549942851
114,Air Operation,16617 ARMINTA ST,91406,FIRE,16617,,ARMINTA,ST,,,6412164.772991229780018,1901375.782170460093766
90,Fire Station 90,7921 WOODLEY AVE,91406,FIRE,7921,,WOODLEY,AVE,,,6415338.879175810143352,1900751.769310879986733
86,Fire Station 86,4305 VINELAND AVE.,91602,FIRE,4305,,VINELAND,AVE,,,6449656.083507150411606,1877294.114782720105723
